Hand { string: 23KAQ, score: 23dec, hand_type: HighCard, bid: 361}
Hand { string: 256Q3, score: 256c3, hand_type: HighCard, bid: 403}
Hand { string: 25T39, score: 25a39, hand_type: HighCard, bid: 407}
Hand { string: 268TK, score: 268ad, hand_type: HighCard, bid: 628}
Hand { string: 2798Q, score: 2798c, hand_type: HighCard, bid: 1000}
Hand { string: 29675, score: 29675, hand_type: HighCard, bid: 262}
Hand { string: 2T78K, score: 2a78d, hand_type: HighCard, bid: 835}
Hand { string: 2QA9T, score: 2ce9a, hand_type: HighCard, bid: 522}
Hand { string: 2K635, score: 2d635, hand_type: HighCard, bid: 157}
Hand { string: 342T7, score: 342a7, hand_type: HighCard, bid: 292}
Hand { string: 342TQ, score: 342ac, hand_type: HighCard, bid: 796}
Hand { string: 347A9, score: 347e9, hand_type: HighCard, bid: 958}
Hand { string: 35974, score: 35974, hand_type: HighCard, bid: 960}
Hand { string: 372Q5, score: 372c5, hand_type: HighCard, bid: 577}
Hand { string: 375K2, score: 375d2, hand_type: HighCard, bid: 83}
Hand { string: 385A2, score: 385e2, hand_type: HighCard, bid: 27}
Hand { string: 38TQ5, score: 38ac5, hand_type: HighCard, bid: 244}
Hand { string: 3K49A, score: 3d49e, hand_type: HighCard, bid: 888}
Hand { string: 3AT46, score: 3ea46, hand_type: HighCard, bid: 736}
Hand { string: 42Q93, score: 42c93, hand_type: HighCard, bid: 509}
Hand { string: 42AQ8, score: 42ec8, hand_type: HighCard, bid: 42}
Hand { string: 4367T, score: 4367a, hand_type: HighCard, bid: 86}
Hand { string: 493K7, score: 493d7, hand_type: HighCard, bid: 365}
Hand { string: 49865, score: 49865, hand_type: HighCard, bid: 537}
Hand { string: 4T8Q6, score: 4a8c6, hand_type: HighCard, bid: 308}
Hand { string: 4Q365, score: 4c365, hand_type: HighCard, bid: 752}
Hand { string: 4K9QA, score: 4d9ce, hand_type: HighCard, bid: 884}
Hand { string: 4AK76, score: 4ed76, hand_type: HighCard, bid: 745}
Hand { string: 53294, score: 53294, hand_type: HighCard, bid: 986}
Hand { string: 54627, score: 54627, hand_type: HighCard, bid: 153}
Hand { string: 549K2, score: 549d2, hand_type: HighCard, bid: 989}
Hand { string: 54KA9, score: 54de9, hand_type: HighCard, bid: 850}
Hand { string: 576AK, score: 576ed, hand_type: HighCard, bid: 438}
Hand { string: 57A48, score: 57e48, hand_type: HighCard, bid: 926}
Hand { string: 5947A, score: 5947e, hand_type: HighCard, bid: 304}
Hand { string: 5T6K3, score: 5a6d3, hand_type: HighCard, bid: 644}
Hand { string: 5Q4A9, score: 5c4e9, hand_type: HighCard, bid: 684}
Hand { string: 5Q7A3, score: 5c7e3, hand_type: HighCard, bid: 298}
Hand { string: 5QAT2, score: 5cea2, hand_type: HighCard, bid: 838}
Hand { string: 5K89Q, score: 5d89c, hand_type: HighCard, bid: 977}
Hand { string: 6275A, score: 6275e, hand_type: HighCard, bid: 449}
Hand { string: 627QA, score: 627ce, hand_type: HighCard, bid: 904}
Hand { string: 632KT, score: 632da, hand_type: HighCard, bid: 765}
Hand { string: 6592Q, score: 6592c, hand_type: HighCard, bid: 148}
Hand { string: 674TK, score: 674ad, hand_type: HighCard, bid: 961}
Hand { string: 6T423, score: 6a423, hand_type: HighCard, bid: 679}
Hand { string: 6Q2A4, score: 6c2e4, hand_type: HighCard, bid: 6}
Hand { string: 6AQ8T, score: 6ec8a, hand_type: HighCard, bid: 655}
Hand { string: 72ATQ, score: 72eac, hand_type: HighCard, bid: 610}
Hand { string: 742Q8, score: 742c8, hand_type: HighCard, bid: 279}
Hand { string: 74TQ2, score: 74ac2, hand_type: HighCard, bid: 11}
Hand { string: 74QTA, score: 74cae, hand_type: HighCard, bid: 447}
Hand { string: 74KT2, score: 74da2, hand_type: HighCard, bid: 16}
Hand { string: 75362, score: 75362, hand_type: HighCard, bid: 490}
Hand { string: 793T6, score: 793a6, hand_type: HighCard, bid: 37}
Hand { string: 79524, score: 79524, hand_type: HighCard, bid: 737}
Hand { string: 79KT5, score: 79da5, hand_type: HighCard, bid: 978}
Hand { string: 7TA68, score: 7ae68, hand_type: HighCard, bid: 419}
Hand { string: 7Q539, score: 7c539, hand_type: HighCard, bid: 833}
Hand { string: 7Q89K, score: 7c89d, hand_type: HighCard, bid: 495}
Hand { string: 7AQ4K, score: 7ec4d, hand_type: HighCard, bid: 791}
Hand { string: 82KA9, score: 82de9, hand_type: HighCard, bid: 703}
Hand { string: 8349T, score: 8349a, hand_type: HighCard, bid: 702}
Hand { string: 843QT, score: 843ca, hand_type: HighCard, bid: 933}
Hand { string: 849KA, score: 849de, hand_type: HighCard, bid: 396}
Hand { string: 84Q5K, score: 84c5d, hand_type: HighCard, bid: 385}
Hand { string: 875KT, score: 875da, hand_type: HighCard, bid: 127}
Hand { string: 8QA53, score: 8ce53, hand_type: HighCard, bid: 637}
Hand { string: 8QA56, score: 8ce56, hand_type: HighCard, bid: 130}
Hand { string: 8K345, score: 8d345, hand_type: HighCard, bid: 274}
Hand { string: 8KT24, score: 8da24, hand_type: HighCard, bid: 171}
Hand { string: 8KAQ5, score: 8dec5, hand_type: HighCard, bid: 390}
Hand { string: 93Q56, score: 93c56, hand_type: HighCard, bid: 969}
Hand { string: 93K62, score: 93d62, hand_type: HighCard, bid: 593}
Hand { string: 95482, score: 95482, hand_type: HighCard, bid: 927}
Hand { string: 9564K, score: 9564d, hand_type: HighCard, bid: 481}
Hand { string: 95TA2, score: 95ae2, hand_type: HighCard, bid: 429}
Hand { string: 983K4, score: 983d4, hand_type: HighCard, bid: 161}
Hand { string: 9T354, score: 9a354, hand_type: HighCard, bid: 861}
Hand { string: 9T423, score: 9a423, hand_type: HighCard, bid: 312}
Hand { string: 9Q4A7, score: 9c4e7, hand_type: HighCard, bid: 56}
Hand { string: 9K23Q, score: 9d23c, hand_type: HighCard, bid: 360}
Hand { string: 9K485, score: 9d485, hand_type: HighCard, bid: 88}
Hand { string: 9K586, score: 9d586, hand_type: HighCard, bid: 843}
Hand { string: T2864, score: a2864, hand_type: HighCard, bid: 97}
Hand { string: T39Q7, score: a39c7, hand_type: HighCard, bid: 754}
Hand { string: T49AK, score: a49ed, hand_type: HighCard, bid: 425}
Hand { string: T6Q45, score: a6c45, hand_type: HighCard, bid: 680}
Hand { string: T6A72, score: a6e72, hand_type: HighCard, bid: 527}
Hand { string: T6AK9, score: a6ed9, hand_type: HighCard, bid: 91}
Hand { string: T7K3A, score: a7d3e, hand_type: HighCard, bid: 165}
Hand { string: T9274, score: a9274, hand_type: HighCard, bid: 336}
Hand { string: Q283K, score: c283d, hand_type: HighCard, bid: 149}
Hand { string: Q3692, score: c3692, hand_type: HighCard, bid: 249}
Hand { string: Q38K5, score: c38d5, hand_type: HighCard, bid: 370}
Hand { string: Q67A8, score: c67e8, hand_type: HighCard, bid: 622}
Hand { string: Q7254, score: c7254, hand_type: HighCard, bid: 28}
Hand { string: Q7A95, score: c7e95, hand_type: HighCard, bid: 951}
Hand { string: Q8A62, score: c8e62, hand_type: HighCard, bid: 213}
Hand { string: Q9475, score: c9475, hand_type: HighCard, bid: 774}
Hand { string: Q97T4, score: c97a4, hand_type: HighCard, bid: 860}
Hand { string: Q9842, score: c9842, hand_type: HighCard, bid: 315}
Hand { string: QT256, score: ca256, hand_type: HighCard, bid: 280}
Hand { string: QT589, score: ca589, hand_type: HighCard, bid: 378}
